date,Kamala Harris,Donald Trump,Michelle Obama,Nikki Haley,RFK Jr,Hillary Clinton,JD Vance,Tim  Walz,Gavin Newsom,Tucker Carlson,Mark Cuban,Pete Buttigieg,Kristi Noem,Tulsi Gabbard,Ron DeSantis,Joe Biden,Mike Pence,Andrew Cuomo,Ted Cruz,Mike Pompeo,Elizabeth Warren,Amy Klobuchar,Andrew Yang,Cory Booker,Donald Trump Jr,Vivek Ramaswamy,Michael Flynn,Jamie Dimon,Gretchen Whitmer,Dean Phillips,Dwayne Johnson,Tim Scott,Oprah Winfrey,Joe Manchin,Ben Carson,JB Pritzker,Candace Owens,Chris Christie,Doug Burgum,Ivanka Trump,Josh Hawley,Nina Turner,John Fetterman,JonTester,Josh Mandel,Marco Rubio,Winsome Sears,Nancy Mace,Marianne Williamson,Elise Stefanik,Cornel West,Ayanna Pressley,Ben Sasse,Charles Ernest Grassley,Chris Murphy,Cori Bush,Dan Pfeiffer,Deval Patrick,Condoleezza Rice,Dan Crenshaw,Greg Abbott,Karen Bass,Eric Adams,Eric Garcetti,Eric Holder,Eric Swalwell,Gary Peters,Herschel Walker,Jared Polic,Jason Kander,Jo Jorgensen,John Bolton,Martin Heinrich,Michael Bloomberg,Mitch Landrieu,Rand Paul,Rashida Tlaib,Rob Portman,Susan Collins,Tim  Ryan,Tony Evers,Lee Zeldin,Paul Ryan,Sarah Huckabee Sanders
21/11/2023,60,2.62,32,14.5,20,350,,,9,490,,770,,,38,3.55,720,510,780,,140,780,,,,70,,610,180,,350,,,120,,,,800,600,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/11/2023,65,2.58,29,13.5,24,340,,,9.8,600,,710,,,44,3.6,720,580,780,,100,830,,,,70,,600,260,,480,,,150,,,,770,600,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2023,60,2.56,36,10.5,28,280,,,15.5,560,380,850,,,55,3.1,1000,470,1000,,180,,,,,90,,760,340,,810,,,190,,,,710,1000,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2023,55,2.44,40,13.5,20,310,,,15.5,310,280,820,,,46,3.15,1000,660,1000,,140,,,,,85,,640,240,100,270,,,220,,,,660,1000,,,,1000,,,100,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/12/2023,55,2.34,42,16,32,320,,,14.5,450,160,500,,,55,3.4,1000,690,1000,,150,870,,,,75,,610,140,100,380,,,190,,,,230,1000,,,,1000,,,1000,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,870,,,,,,,,,,
24/12/2023,55,2.44,50,10,30,160,,,15,420,420,610,,,60,3.4,720,510,680,,200,900,,,,85,340,560,200,100,700,,,180,810,,,250,600,,,,740,,,230,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,880,,,,,,,,,,
31/12/2023,60,2.48,50,9.8,30,170,,,15,500,275,700,,,60,3.45,1000,910,1000,,220,810,,,,80,800,500,200,90,800,,,190,1000,,,180,1000,,,,1000,,,1000,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,
7/01/2024,65,2.54,50,10,29,210,,,16.5,500,130,800,,,65,3.4,1000,550,1000,,150,790,,,,55,900,630,200,60,610,,,190,1000,,,190,1000,,,,1000,,,1000,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,
14/01/2024,75,2.38,26,12,34,360,,,32,580,360,730,,,75,3.15,1000,720,1000,,170,780,,,,50,1000,530,270,85,510,,,270,1000,,,1000,1000,,,,1000,,,1000,,1000,1000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,
20/01/2024,75,2.32,24,22,30,440,,,27,510,520,1000,,,120,2.88,1000,1000,1000,,160,1000,,,,250,1000,650,300,65,510,,,310,830,,,1000,1000,,,,1000,,,1000,,1000,1000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,
